Optimizer,Final Cost,Time Taken (s)
Gradient Descent,-1.9999999949766605,144.65788102149963
COBYLA,-4.0,87.0818145275116
SPSA,-1.9563330353563135,35.341699838638306
Adam,-0.5458608578979245,103.95748805999756
Simulated Annealing,-1.854650242428269,11.612504720687866
Momentum GD,-1.3226500609848248,104.52023029327393
